user_id,rank,recommended_product_id,score,category,price
U10449,1,P20172,0.8564959801271251,Grocery,120.15
U10449,2,P20180,0.5099129068911157,Home,47.31
U10449,3,P20077,0.5015962197014547,Electronics,33.79
U10449,4,P20206,0.4885569511026246,Electronics,58.3
U10449,5,P20184,0.4467796245515202,Grocery,37.23
U10449,6,P20260,0.4362649015719575,Electronics,12.45
U10449,7,P20161,0.3871835991317817,Sports,38.88
U10449,8,P20231,0.3672129591460604,Electronics,20.4
U10449,9,P20309,0.3631662591165379,Grocery,21.99
U10449,10,P20002,0.36014160882344004,Sports,18.4
U10468,1,P20305,0.7810486196630129,Grocery,49.6
U10468,2,P20036,0.7137237721763912,Sports,52.17
U10468,3,P20140,0.7020487209940962,Beauty,41.69
U10468,4,P20307,0.6827643800676744,Home,48.23
U10468,5,P20244,0.621427465571633,Clothing,59.34
U10468,6,P20215,0.598174467135068,Sports,52.42
U10468,7,P20154,0.544834779830175,Sports,107.55
U10468,8,P20070,0.5376416559185867,Sports,44.77
U10468,9,P20156,0.5304025853617519,Beauty,29.83
U10468,10,P20117,0.5130890191603857,Sports,24.41
U10443,1,P20226,0.7405799494394466,Sports,36.64
U10443,2,P20169,0.7273317361574122,Clothing,83.63
U10443,3,P20088,0.6721287049093244,Grocery,53.8
U10443,4,P20060,0.6603589713520372,Grocery,138.3
U10443,5,P20172,0.6431464204720988,Grocery,120.15
U10443,6,P20255,0.595667270604993,Beauty,48.03
U10443,7,P20288,0.5281405115636115,Clothing,19.63
U10443,8,P20202,0.5246965313631495,Electronics,50.0
U10443,9,P20079,0.49128076021717093,Clothing,64.14
U10443,10,P20054,0.48783574357662396,Grocery,41.73
U10073,1,P20041,1.317922974064417,Electronics,20.05
U10073,2,P20263,1.2114082120873468,Beauty,39.74
U10073,3,P20045,1.1853516214466961,Grocery,71.0
U10073,4,P20082,1.0637842242784135,Electronics,9.93
U10073,5,P20302,0.907312508881833,Sports,17.16
U10073,6,P20115,0.8508624024175278,Electronics,31.14
U10073,7,P20036,0.8420676075326562,Sports,52.17
U10073,8,P20142,0.8132891416671926,Sports,33.31
U10073,9,P20195,0.8117757876118101,Grocery,41.31
U10073,10,P20298,0.7989365207945927,Electronics,26.65
U10138,1,P20135,1.055825587718332,Electronics,36.61
U10138,2,P20138,0.5993718600416091,Home,19.63
U10138,3,P20074,0.5767289424046391,Beauty,22.77
U10138,4,P20048,0.5654894626140962,Home,14.81
U10138,5,P20283,0.5473032752568323,Electronics,145.6
U10138,6,P20030,0.5340375122764597,Clothing,134.91
U10138,7,P20035,0.5265617340835566,Sports,20.25
U10138,8,P20195,0.5183068931411168,Grocery,41.31
U10138,9,P20102,0.4948029817295403,Beauty,42.25
U10138,10,P20143,0.4926866089773908,Grocery,35.59
U10354,1,P20035,1.208191276580967,Sports,20.25
U10354,2,P20293,1.0452587405689329,Sports,218.84
U10354,3,P20074,0.7381201719615536,Beauty,22.77
U10354,4,P20142,0.7291849808931408,Sports,33.31
U10354,5,P20225,0.695460934128566,Clothing,24.29
U10354,6,P20033,0.6865285764481199,Clothing,36.21
U10354,7,P20150,0.6594304407736977,Beauty,54.08
U10354,8,P20263,0.6060838433339819,Beauty,39.74
U10354,9,P20199,0.570934683157655,Clothing,217.06
U10354,10,P20054,0.5508815175119934,Grocery,41.73
U10317,1,P20137,0.9660780422810626,Home,69.53
U10317,2,P20295,0.9022492539206598,Grocery,47.46
U10317,3,P20205,0.7027119598174238,Home,60.3
U10317,4,P20223,0.6937879244491542,Electronics,34.67
U10317,5,P20079,0.6930477611897596,Clothing,64.14
U10317,6,P20214,0.6361541710225527,Beauty,48.01
U10317,7,P20190,0.6357104325383407,Beauty,29.15
U10317,8,P20257,0.622866667235678,Sports,43.33
U10317,9,P20218,0.6122098096014474,Home,9.13
U10317,10,P20159,0.6099386173892029,Electronics,29.43
U10381,1,P20202,1.287399256808671,Electronics,50.0
U10381,2,P20244,1.1668737032008085,Clothing,59.34
U10381,3,P20121,1.1042954130862523,Beauty,83.43
U10381,4,P20223,1.057275282668422,Electronics,34.67
U10381,5,P20162,1.003013805344982,Electronics,24.49
U10381,6,P20195,0.9922777989180469,Grocery,41.31
U10381,7,P20140,0.8971153830866723,Beauty,41.69
U10381,8,P20261,0.8458184692884442,Home,19.63
U10381,9,P20079,0.8081164841898091,Clothing,64.14
U10381,10,P20288,0.683315828830267,Clothing,19.63
